,Judul,Konten
0,"Kuliah S1-S2 Cuma 5 Tahun, Ini Daftar Kampus yang Punya Program Fast Track",Program fast track di berbagai perguruan tinggi memungkinkan mahasiswa lulus S1 dan S2 dalam waktu 5 tahun. Bagaimana caranya? Simak di sini.
1,"Daya Tampung Unnes di SNBP-SNBP-Mandiri 2023, Cek Prodi Pilihanmu","Unnes mengumumkan informasi daya tampung SNBP, SNBT, dan SM-Unnes 2023. Berikut rincian kuota masing-masing prodinya"
2,Nostalgia Mahasiswa Geografi UGM Berseragam SMA Sampai Dosen Kaget,Tingkah mahasiswa Fakultas Geografi UGM angkatan 2022 yang kompak mengenakan seragam SMA saat jam perkuliahan viral di medsos. Ada kisah haru di baliknya.
3,Dispora Pastikan Lapangan Jatim Seger Gratis,Dispora Jatim memastikan lapangan Jatim Seger gratis untuk masyarakat umum. Pembebasan biaya itu berlaku mulai 20 Februari 2023.
4,Mahasiswa KKN UIN Makassar yang Meninggal Kecelakaan di Majene Jadi 2 Orang,"Mahasiswa KKN UIN Alauddin Makassar yang meninggal akibat kecelakaan di Kabupaten Majene, Sulawesi Barat (Sulbar) bertambah menjadi dua orang."
5,"Mahasiswa KKN UIN Makassar Pakai Motor Roda 3 Tabrak Pohon di Majene, 1 Tewas","Sebanyak 9 mahasiswa KKN UIN Alauddin Makassar yang mengendarai motor tiga roda menabrak pohon di Kabupaten Majene, Sulawesi Barat (Sulbar)."
6,Studi Ungkap Penyuka Kucing Lebih Pintar dari Penggemar Anjing,"Antara penyuka kucing atau penyuka anjing, kira-kira siapa yang lebih cerdas? Simak berikut ini penjelasannya menurut studi."
7,Awal Mula Ide Mahasiswa UGM Berseragam SMA hingga Bikin Dosen Kaget,Video mahasiswa UGM berseragam SMA saat jam perkuliahan viral di medsos. Pengunggah video itu menceritakan awal mula ide mereka memakai seragam putih abu-abu.
8,"Perjuangan Ali Fauzi Raih Gelar Doktor, Sempat Putus Asa-Ingin Drop Out","Ali Fauzi, eks napiter Bom Bali mengungkapkan kendala menulis disertasi doktornya dari kampus UMM. Simak selengkapnya."
9,Mahasiswa UGM Kompak Berseragam SMA di Kelas Fakultas Geografi,Aksi unik mahasiswa Universitas Gadjah Mada (UGM) yang kompak mengenakan seragam SMA saat perkuliahan dilakukan para mahasiswa dari Fakultas Geografi.
10,"Finalisasi PDSS Diperpanjang, Apakah Pengumuman SNBP Akan Diundur?","Panitia SNPMB menyatakan finalisasi PDSS diundur hingga Rabu, 22 Februari 2023. Apakah pengumuman SNBP juga diundur?"
11,Ternyata Ini Alasan Mahasiswa UGM Kompak Pakai Seragam SMA,Video aksi unik mahasiswa UGM berseragam SMA saat jam perkuliahan beredar di media sosial. Begini kata Kabag Humas dan Protokol UGM Dina W Kariodimedjo.
12,Bikin Dosen Kaget! Mahasiswa UGM Kompak Berseragam SMA di Kelas,Video aksi unik mahasiswa Universitas Gadjah Mada (UGM) berseragam SMA saat jam perkuliahan viral di media sosial. Begini cerita di baliknya.
13,"Penelitian Hampir 80 Tahun, Studi Harvard Ungkap Hal yang Buat Hidup Bahagia",Penelitian Harvard menunjukkan bahwa hubungan yang bahagia bisa membuat lebih sehat hingga tua. Ini hasil studinya.
14,8 Contoh Saran dalam Makalah yang Benar dan Cara Membuatnya,Saran adalah salah satu unsur yang terdapat di dalam makalah. Simak 8 contoh saran dalam makalah pada artikel ini.
15,Ali Fauzi Eks Napiter Bom Bali I Raih Gelar Doktor dari UMM,"Eks napiter Ali Fauzi meraih gelar doktor dari Universitas Muhammadiyah Malang (UMM). Ia meraih gelar tersebut setelah merampungkan kuliahnya selama 3,5 tahun."
16,Penerima KIP Kuliah Bisa Daftar Beasiswa Lain? Ini Ketentuannya,Apakah penerima KIP Kuliah bisa mendaftar beasiswa lain? Berikut ketentuan yang harus diketahui.
17,"Kuesioner Adalah Metode Pengumpulan Data, Ketahui Jenis dan Contohnya",Kuesioner merupakan salah satu cara terbaik untuk mengumpulkan data. Simak jenis dan contoh kuesioner di sini.
18,"Pemain Taxi Driver 2 Lee Je Hoon Jadi Korban Pelecehan Seksual, Ini Pelakunya","Pemain drama Korea Taxi Driver 2, Lee Je Hoon menjadi korban pelecehan seksual. Hal itu dilakukan seorang komedian wanita yang mengomentari fisiknya."
19,Soal Perayaan Hari Jadi Pura Mangkunegaran ke-266,Akan ada tribute Didi Kempot diacara Pura Mangkunegaran tahun ini.
20,Khidmat Ritual Peringati Tragedi Longsor di Cireundeu Cimahi,"Peringatan tragedi longsor Leuwigajah di Cireundeu, Kota Cimahi, berlangsung khidmat. Ada momentum kelam dari peristiwa ini."
21,"Ikan Lele Cegah Stunting, Cicip Abon Lele dari Jambi yang Nagih","Konsumsi ikan lele disebut Kepala BKKBN dr Hasto Wardoyo, SpOG mampu mencegah stunting anak. Jika bosan olahan biasa, coba abon lele kreasi mahasiswa Jambi ini."
22,Rachmat Gobel Beberkan Rencana Pembangunan IKN ke Parlemen Hungaria,"Wakil Ketua DPR RI Bidang Korinbang, Rachmat Gobel memaparkan pembangunan Ibu Kota Negara (IKN) baru di Kalimantan di hadapan pimpinan DPR Hungaria."
23,"Ada Beasiswa S2 di Belgia, Tunjangan Hingga Rp 155 Juta",Kementerian Pendidikan Belgia membuka beasiswa The Master Mind untuk mahasiswa berprestasi di seluruh dunia. Bisa dapat tunjangan hingga Rp 155 juta.
24,5 Prospek Kerja Lulusan Sastra Indonesia,Jurusan Sastra Indonesia masih jadi primadona bagi siswa SMA yang ingin melanjutkan studi di perguruan tinggi. Berikut prospek kerja lulusan Sastra Indonesia.
25,Warga Bisa Akses Ilmu Gratis dari Perguruan Tinggi? Ini Program 2 Pakar Pendidikan,Kitong Bisa Foundation dan Pijar Foundation menyediakan program baru bagi masyarakat yang ingin mengakses pengetahuan gratis dari perguruan tinggi.
26,Unpar Buka Jalur USM 2 bagi Calon Mahasiswa Baru 2023,Universitas Katolik Parahyangan (Unpar) Bandung membuka jalur Ujian Saringan Masuk (USM) 2 bagi calon mahasiswa baru 2023 mulai 13 Februari 2023 - 2 Mei 2023.
27,"Beasiswa Bank Indonesia 2023 Jabar buat Mahasiswa dan Siswa SMK, Yuk Daftar!","Ada sejumlah program Beasiswa Bank Indonesia 2023 untuk mahasiswa dan siswa SMK di Jabar, simak ketentuan selengkapnya di sini."
28,"Beasiswa Jalur Mandiri ITS 2023 Dibuka, Bebas Uang Sumbangan","ITS membuka beasiswa untuk jalur mandiri 2023, bebas uang Sumbangan Pengembangan Akademik (SPA) dan Sumbangan Pengembangan Institusi (SPI)."
29,"Mengenal Konflik Sosial, Penyebab, Dampak, dan Contohnya","Konflik sosial sering terjadi di masyarakat. Simak penyebab, dampak, dan contoh konflik sosial di sini."
30,"Ketentuan Khusus SNBP di UNS 2023, Prestasi sampai Tinggi Badan","UNS menerapkan sejumlah ketentuan khusus di SNBP 2023 pada sejumlah prodi, mulai dari prestasi, buta warna parsial, tinggi badan, hingga khusus perempuan."
31,"17 Kompetisi Ajang Talenta Kemendikbudristek 2023, Mahasiswa Bersiap Yuk!",Kemendikbudristek menggelar 17 ajang talenta bagi mahasiswa di seluruh perguruan tinggi Indonesia pada tahun 2023. Cek yuk apa saja kompetisinya.
32,Menanti Janji Pemerintah 'Pasrahkan' Lahan Eks TPA Cireundeu ke Warga,"18 tahun lalu, 157 nyawa melayang dalam tragedi longsor sampah yang terjadi di TPA Cireundeu, Kelurahan Leuwigajah, Kecamatan Cimahi Selatan, Kota Cimahi."
33,"3 Jalur Mandiri UGM 2023, Calon Mahasiswa Baru Siap-siap!","UGM umumkan apa saja jalur mandiri yang akan dibuka bagi calon maba sarjana dan sarjana terapan 2023. Selain itu, segini jumlah kuotanya."
34,Tips Membuat CV Bagi yang Belum Memiliki Pengalaman Kerja,"Curriculum Vitae (CV) merupakan dokumen yang berisi riwayat hidup seseorang. Namun, apa yang harus ditulis jika belum memiliki pengalaman bekerja?"
35,Jalur SNBP di UNIMED? Berikut Jadwal dan Kuota Tiap Jurusan!,"Jalur SNBP di Unimed kini sudah dibuka. Bagi detiker yang ingin mencoba masuk Unimed SNBP, bisa cek informasinya di sini."
36,"Ketentuan Portofolio Bidang Seni dan Olahraga SNBP-SNBT 2023, Persiapkan Yuk!",Peserta SNBP dan SNBT 2023 harus memperhatikan portofolio yang nanti diunggah saat pendaftaran. Berikut ketentuannya.
37,"Aniaya Mantan Pacar, Mahasiswa Pelita Harapan Dikeluarkan!","Seorang mahasiswa Universitas Pelita Harapan (UPH) dicabut status kemahasiswaannya karena diduga menganiaya mantan pacarnya, mahasiswi UPH. Begini kasusnya."
38,Kasus Aniaya Mantan Pacar Bikin Mahasiswa UPH Dikeluarkan Kampus,Pihak UPH mengambil keputusan mencabut status kemahasiswaan pelaku dugaan penganiayaan mantan pacarnya. UPH meminta pelaku bertanggung jawab.
39,"Hari Bahasa Ibu Internasional 2023: Sejarah, Tema, dan Cara Merayakan","Hari Bahasa Ibu Internasional diperingati setiap tanggal 21 Februari. Berikut sejarah, tema dan cara memperingati Hari Bahasa Ibu Internasional 2023."
40,KPK Ungkap Konstruksi Perkara Kasus Suap Bupati Mamberamo Tengah,Bupati Mamberamo Tengah Ricky Ham Pagawak resmi ditahan KPK atas kasus dugaan suap. Begini konstruksi perkaranya.
41,5 Ide Usaha Sampingan untuk Mahasiswa,Mahasiswa biasanya ingin mendapatkan penghasilan sendiri sebagai uang tambahan dari orang tua. Berikut sederet ide usaha sampingan yang bisa dicoba mahasiswa.
42,5 Rekomendasi Kado Wisuda untuk Sahabat dan Orang Tercinta,Wisuda merupakan momen yang membahagiakan sekaligus berkesan. Berikut sederet rekomendasi kado wisuda untuk sahabat dan orang tercinta.
43,Tegas! UPH DO Mahasiswa yang Viral Aniaya Mantan Pacar,UPH memberikan sanksi pencabutan status kemahasiswaan alias drop out (DO) kepada mahasiswanya yang diduga menganiaya mantan pacarnya yang juga mahasiswi UPH.
44,Mendobrak Stigma Gen Z Melalui TEDx Sampoerna University,"Ada beberapa stigma yang disematkan ke Gen Z. Antara lain serbacepat, termasuk dalam menyimpulkan sesuatu. Bisakah stigma itu didobrak?"
45,Hakim MK Tegur Pemohon Perppu Ciptaker: Tidak Boleh Kaitkan Politik,Hakim Konstitusi Anwar Usman sempat menegur pemohon gugatan Perppu  Ciptaker di sidang. Anwar menegaskan sidang di MK tidak boleh dikaitkan dengan politik.
46,Massa GMNI Demo Walkot Padang Buntut Rumah Singgah Bung Karno Dirubuhkan,Sejumlah mahasiswa dari Gerakan Mahasiswa Nasionalis Indonesia (GMNI) Sumatera Barat (Sumbar) berunjuk rasa di depan rumah dinas Wali Kota Padang.
47,"Ketentuan Perpanjangan Pengisian PDSS untuk SNBP 2023, Catat!","Sekolah yang belum menyelesaikan pengisian PDSS untuk SNBP diberi perpanjangan waktu dua hari. Namun, ada ketentuannya."
48,10+ Contoh Kesimpulan Makalah yang Benar Berbagai Tema,"Para siswa, mahasiswa, dan pejuang skripsi, simak 10 contoh kesimpulan yang benar dari berbagai tema di sini."
49,"Rumah Singgah Bung Karno Dirubuhkan, GMNI Demo Walkot Padang",Sejumlah mahasiswa dari GMNI Sumbar berunjuk rasa di depan rumah dinas Wali Kota Padang. Mereka memprotes rubuhnya rumah singgah Bung Karno di Padang.
50,"Keterangan Presiden Belum Siap, MK Tunda Sidang Gugatan Perppu Ciptaker",Sidang lanjutan gugatan uji formil dan materiil Perppu Ciptaker ditunda karena keterangan Presiden Jokowi belum siap.
51,"Ketua SNPMB Singgung Sekolah yang Bikin Siswanya Tak Bisa Ikut SNBP, Ingatkan Ini","Ketua SNPMB, Prof Ashari menyenggol sekolah yang kurang perhatian soal pengisian PDSS. Dia pun mengingatkan sekolah untuk melakukan hal ini."
52,"10 Prodi Unand dengan Keketatan Tertinggi, Referensi SNBP-SNBT 2023",Unand merilis 10 prodi dengan keketatan tertinggi berdasarkan data seleksi mahasiswa baru tahun 2022. Berikut daftar prodi beserta keketatannya.
53,Relawan Ganjar Gelar Sunat Massal-Penyuluhan Gratis di Bandung Barat,"Orang Muda Ganjar Jabar menginisiasi cek kesehatan berupa gula darah, asam urat, dan kolesterol. Serta, penyuluhan kesehatan secara gratis bagi masyarakat."
54,Dirjen Dikti: Banyak Perusahaan Tidak Lagi Lihat Ijazah di Amerika,"Di era digital, banyak perusahaan teknologi di Amerika Serikat yang tidak lagi melihat ijazah. Kini, skill seperti AI dan cloud computing yang banyak dicari."
55,"Cheesecake Expert, Toko Dessert Jogja: Harga, Lokasi-Jam Buka","Cheesecake Expert Jogja jadi toko dessert pilihan di Jogja. Berikut ini lokasi, daftar harga, jam buka, hingga fasilitas Cheesecake Expert."
56,"Kuota Google Bangkit Melonjak Jadi 9.000, Ada Ribuan Lowongan untuk Lulusan",Program Bangkit 2023 dari Google dan Kemendikbudristek akan diadakan selama dua batch. Lulusannya dapat ribuan lowongan kerja.
57,"Dear Mahasiswa, Program Bangkit Hadir Lagi Bawa Pelatihan Android-Cloud","Program Bangkit kembali hadir untuk memberikan pelatihan kepada ribuan mahasiswa tentang Android, machine learning hingga cloud computing."
58,"Setianya Jajang, Puluhan Tahun Jadi Penunggu Rumah Inggit Garnasih","Mengenal Jajang, sang penunggu rumah Inggit Garnasih di Kota Bandung."
59,"15 Prodi Baru UI di SNBT dan SNBP 2023, Cek Daya Tampungnya di Sini",Mau masuk UI lewat SNBT dan SNBP 2023? Simak daftar prodi baru UI yang bisa detikers pilih tahun ini.
60,"Cetuskan Antiperang di Instagram, Mahasiswi Rusia Terancam 10 Tahun Bui","Olesya mengunggah konten mengenai invasi Rusia ke Ukraina, saat ini dia menjadi tahanan rumah dan hanya boleh keluar untuk pergi ke persidangan."
61,"25.952 Mahasiswa Ikut Magang & Studi Independen Bersertifikat 4, Ini Manfaatnya",25.952 Mahasiswa mengikuti Program Magang dan Studi Independen Bersertifikat (MSIB) Angkatan 4. Apa manfaat yang didapat mereka nantinya?
62,"Penyuka Kucing Lebih Pintar dari Penggemar Anjing, Benarkah?","Penelitian ini mengungkap mana yang lebih pintar di antara penyuka kucing atau anjing. Kalau detikers, tergolong yang mana?"
63,Kabar Teranyar dari Mahasiswi UPH Viral Dianiaya Mantan Pacar,Kabar terbaru menyebutkan AS sudah diperiksa polisi.
64,Ini Kasus yang Jerat Bupati Mamberamo Tengah hingga Ditangkap KPK,Ini kasus yang menjerat Bupati Mamberamo Tengah Ricky Ham Pagawak hingga ditangkap KPK.
65,MPR Buat Program Baru Kenalkan Pendidikan Karakter di Era Milenial,MPR RI meluncurkan program baru yang diberi nama Forum Konsultasi Publik dengan 4 program yang akan digelar di beberapa kampus pilihan.
66,"Rekomendasi Tempat Camping di Sukabumi, Cocok buat Liburan Keluarga",Berwisata di Kota Sukabumi tentu kurang lengkap jika belum mengunjungi tempat wisata Aku Cantik. Tempat ini cocok dikunjungi bersama keluarga saat liburan.
67,"Rekomendasi Sekolah Kedinasan buat Anak IPS, Kuliah Gratis dan Jadi CPNS",Detikers anak IPS di sekolah? Ada sejumlah sekolah kedinasan buat anak IPS yang bisa jadi pertimbangan kuliah tahun ini. Simak lengkapnya di sini.
68,"BEM UI Sebut Wacana Tunda Pemilu 2024 Bikin Resah Publik, KPU Jawab Begini",Ketua BEM UI Melki Sedek menyoroti wacana penundaan pemilu yang dianggap membuat resah di masyarakat. KPU merespons pernyataan Ketua BEM UI tersebut.
69,BEM se-Madura Dukung Reaktivasi Rel Kereta Api di Pulau Garam,"Reaktivasi rel kereta api di Madura mendapat dukungan mayoritas warga. Karena itu, pemerintah diminta segera menganggarkan program itu pada APBN 2023 mendatang."
70,"PENA 98 Rilis Kriteria Capres 2024, Bakal Serahkan ke Partai-partai","Sekjen PENA 98 sekaligus politikus PDIP, Adian Napitulu, mengatakan pihaknya bakal mengirimkan kriteria capres 2024 tersebut ke tiap partai politik."
71,"Kerjasama Bareng Mahasiswa UNS, Petani Klaten Panen Padi Rojolele Organik","Petani Desa Glagahwangi, Klaten panen Rojolele konversi organik bekerjasama dengan mahasiswa KKN UNS Solo."
72,"Gurihnya Abon Lele Buatan Mahasiswa Unja, Cocok Pendamping Makanan",Mahasiswa Unja berhasil membuat abon ikan lele. Ide membuat abon lele ini muncul ketika mahasisa Unja membantu pengembangan lele di Muaro Jambi.
73,Kriminal Bali Sepekan: Kasus Korupsi SPI Unud-Dana Hibah Pilbup Badung,Berikut rangkuman berita terpopuler kriminal Bali sepekan
74,"Mahasiswi UB Peraih IP 4,0 di Michigan State University Beri Tips Lolos IISMA","Rafa, mahasiswa UB berhasil meraih IP 4,0 di Michigan State University. Berikut tips lolos IISMA 2023 dari Rafa."
75,Contoh Karya Ilmiah yang Bisa Jadi Referensi,Karya ilmiah merupakan karya tulis yang berisi hasil penelitian atau pembahasan penulis/peneliti. Berikut contoh karya ilmiah yang bisa jadi referensi.
76,5 Fakta Gempar Curhat Mahasiswi UPH Dianiaya Sadis Mantan Pacar,Mahasiswi UPH curhat di media sosial menjadi korban penganiayaan mantan pacar. Berikut lima fakta mengenai peristiwa tersebut.
